id,title,authors,description,content_url,lab_id,lab_name,published
,Intercultural Competence Development Through International Service-Learning,Carlos Morales|Priya Nair,"This study evaluates the effects of international service-learning programs on intercultural competence development in undergraduate students using a validated pre-post assessment framework. Structured critical reflection components and reciprocal partnership models with host communities produce significantly greater intercultural learning gains than standard program models.",,0qJ45GeVfFoGnCMVV6qq,Cross-Cultural Communication & Inclusion Lab,2023-11-06
,Startup Ecosystem Mapping: URI Student Ventures 2015-2024,Rachel Torres|Marcus Webb,"This paper presents a comprehensive mapping and analysis of student-founded ventures emerging from the University of Rhode Island from 2015 to 2024, characterizing founding team composition, sector distribution, financing outcomes, and survival rates. The analysis identifies disciplinary training, prior entrepreneurial exposure, and mentorship access as key predictors of venture formation and early success.",,bFbPBo7ylFIMps4coo6g,Student Business Incubator & Venture Lab,2022-08-03
,Angel Investment Readiness and University Venture Support Programs,Marcus Webb|Kwame Asante,"This research evaluates the effectiveness of university venture support programs in improving angel investment readiness and early-stage financing outcomes for student and faculty entrepreneurs. Structured pitch coaching, investor network facilitation, and due diligence preparation programs significantly increase rates of external angel investment within 18 months.",,bFbPBo7ylFIMps4coo6g,Student Business Incubator & Venture Lab,2023-05-31
,Social Ventures and Hybrid Business Models in Higher Education Incubators,Kwame Asante|Rachel Torres,"This paper examines the prevalence, characteristics, and performance outcomes of social ventures and hybrid business models incubated within university entrepreneurship programs, comparing them with purely commercial ventures in the same programs. Social ventures demonstrate lower financial return but higher founder satisfaction and measurable community benefit outcomes.",,bFbPBo7ylFIMps4coo6g,Student Business Incubator & Venture Lab,2024-04-22
,Food Pantry Utilization and Stigma Among College Students,Elena Walsh|Ravi Kapoor,"This study investigates the relationship between perceived stigma and food pantry utilization among food-insecure college students, examining how campus climate, peer norms, and program design affect help-seeking behavior. Anti-stigma messaging and anonymous access pathways significantly increase utilization rates among eligible students who previously avoided pantry services.",,babsuSx3JXhDtvYRw6UK,Campus Food Systems & Nutrition Access Lab,2022-11-28
,Farm-to-Campus Procurement and Carbon Footprint Reduction in University Dining,Ingrid Larsen|Patricia Lund,"This paper evaluates the food carbon footprint implications and supply chain feasibility of increasing farm-to-campus local food procurement in university dining operations, drawing on lifecycle assessment and supply chain mapping for a New England research university. Strategic procurement shifts targeting high-impact food categories achieve meaningful carbon reductions while supporting regional agricultural economies.",,babsuSx3JXhDtvYRw6UK,Campus Food Systems & Nutrition Access Lab,2024-03-14
,Devised Theater and Community Organizing in Environmental Justice Campaigns,Sophie Archer|Amara Diallo,"This research examines the use of devised theater and performance as tools for community organizing and public narrative building in environmental justice campaigns in urban communities. Case analysis shows that participatory performance processes build community capacity and increase sustained civic engagement beyond the scope of individual campaign actions.",,Xj3y8IJUiUASyb0CXBEL,Theater & Social Change Research Lab,2022-06-17
,Drama Therapy Outcomes for Trauma Survivors in Refugee Communities,Amara Diallo|Lena Graves,"This paper evaluates the therapeutic outcomes of group drama therapy interventions for trauma survivors in refugee communities using a mixed-methods design incorporating standardized trauma symptom measures and participant narrative inquiry. Significant reductions in PTSD symptoms and social isolation are documented alongside improvements in participants' sense of agency and cultural identity expression.",,Xj3y8IJUiUASyb0CXBEL,Theater & Social Change Research Lab,2023-10-22
,Applied Theater as Pedagogy in Correctional Education Programs,Sophie Archer|Carlos Morales,"This study examines the implementation and educational outcomes of applied theater programs in correctional facility educational settings, drawing on ethnographic observation and participant interviews. Theater-based pedagogy produces measurable improvements in literacy and social-emotional competencies while fostering transformative reflective practice among incarcerated participants.",,Xj3y8IJUiUASyb0CXBEL,Theater & Social Change Research Lab,2024-05-28
,Accessibility Design Principles for Virtual Reality Applications,Mei Lin|Felix Huang,"This paper develops and evaluates a set of accessibility design principles for virtual reality applications targeting users with visual, auditory, motor, and cognitive disabilities. User testing with disability community participants identifies persistent design barriers in current consumer VR systems and validates accessible design patterns that maintain immersion while improving usability.",,9ehfOOPhC4EoqMDh59FM,Immersive Media & XR Design Lab,2023-02-10
,Narrative Empathy in 360-Degree Documentary Journalism,Felix Huang|Sophie Archer,"This research investigates the mechanisms through which 360-degree documentary journalism elicits narrative empathy and perspective-taking in audiences, using psychophysiological measurement and post-exposure interviews. Presence and narrative transportation mediate the relationship between immersive format characteristics and empathic response, with implications for documentary ethics and practice.",,9ehfOOPhC4EoqMDh59FM,Immersive Media & XR Design Lab,2024-06-03
